query,k,rank,doc_id,score,index_time,runner_time,bytes_read,title,snippet
inflación,8,1,https://www.larepublica.co/redirect/post/3318861,0.08912792193254468,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,El Departamento Administrativo Nacional de Estadística Dane reveló la cifra de inflación para febrero en el país. La variación mensual alcanzó 163 lo que lleva a la cifra anual a ubicarse en 801. Esta cifra se explicó en gran medida por la ...
inflación,8,2,https://www.larepublica.co/redirect/post/3319768,0.08844314933921359,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,Las ganancias de los precios al consumidor en EE.UU. se aceleraron en febrero a un nuevo máximo en 40 años en consonancia con la rápida inflación que se volvió aún más pronunciada tras la invasión de Ucrania por parte de Rusia.El índice de ...
inflación,8,3,https://www.bbva.com/es/podcast-como-nos-afecta-el-repunte-de-la-inflacion/,0.08537409948726837,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,La espiral alcista de los precios continúa y genera cada vez más nerviosismo. De hecho según un estudio de la compañía de investigación Ipsos en el pasado mes de abril la inflación se había convertido ya en la principal causa de preocupació...
inflación,8,4,https://www.larepublica.co/redirect/post/3213049,0.08458875951431766,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,Una mayor presión sobre la inflación se registró en julio. De acuerdo con el Instituto Nacional de Estadística INE el Índice de Precios al Consumidor IPC creció 08 en el mes con lo que acumula 28 en lo que va del añoCon esto supera con crec...
inflación,8,5,https://www.larepublica.co/redirect/post/3337424,0.0823027848222767,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,La inflación en el área de la Ocde subió a 77 en el segundo mes del año luego de analizar el consolidado de países para ese periodo frente al 72  de enero y solo 17  en febrero de 2021 alcanzando su tasa más alta desde diciembre de 1990. Se...
inflación,8,6,https://www.larepublica.co/redirect/post/3436982,0.07967785294533232,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,Una de las preocupaciones de este año ha sido la inflación. Tanto así que los bancos centrales del mundo han endurecido su política monetaria aumentando las tasas de interés de referencia.Solo en Colombia la inflación rompió la barrera de l...
inflación,8,7,https://www.larepublica.co/redirect/post/3185847,0.0787366647370921,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,La inflación en Canadá se aceleró a su nivel más alto en una década en lo que los legisladores dicen que solo será un aumento temporal de los precios.La inflación anual de los precios al consumidor subió a 36 en mayo el aumento más rápido d...
inflación,8,8,https://www.larepublica.co/redirect/post/3355029,0.07600967208813744,0.0009775170001375955,0.000989058997220127,25140,Macroeconomia,La inflación medida a través de la variación del Índice de Precios al Consumidor en este caso a nivel nacional en los últimos 12 meses llegó a 862 al cierre de abril una cifra récord de acuerdo con el Instituto Nacional de Estadística e Inf...
sostenibilidad,8,1,https://www.bbva.com/es/especiales/descarga-los-monograficos-de-sostenibilidad-de-bbva/,0.23854817001087242,0.009944010998879094,0.009956855999917025,19587,Sostenibilidad,nan
sostenibilidad,8,2,https://www.larepublica.co/redirect/post/3201882,0.125582339090902,0.009944010998879094,0.009956855999917025,19587,Otra,Carlos Zenteno presidente de Claro Colombia estuvo presente en el foro La banca articuladora empresarial para el desarrollo sostenible organizado por LR en el cual habló sobre lo que es la sostenibilidad para la compañía y sus aportes para ...
sostenibilidad,8,3,https://www.bbva.com/es/sostenibilidad/podcast-la-transicion-ecologica-hacia-un-modelo-de-desarrollo-en-armonia-con-el-planeta/,0.12259732738872786,0.009944010998879094,0.009956855999917025,19587,Sostenibilidad,"Comenzamos una nueva temporada del 'podcast' de 'Futuro Sostenible' que va a estar dedicada a explicar conceptos relacionados con la sostenibilidad. De esta forma podremos entender mejor por qué y cómo podemos crear, entre todos, un nuevo m..."
sostenibilidad,8,4,https://www.larepublica.co/redirect/post/3201905,0.12177476642115193,0.009944010998879094,0.009956855999917025,19587,Otra,Durante el foro La banca articulador empresarial para el desarrollo sostenible el director de sostenibilidad y clientes globales de BBVA en Colombia Andrés García aseguró que es importante entender que la sostenibilidad no la podemos asocia...
sostenibilidad,8,5,https://www.larepublica.co/redirect/post/3201822,0.10613023495824775,0.009944010998879094,0.009956855999917025,19587,Otra,En el marco del Foro de La banca articuladora empresarial para el desarrollo sostenible organizado por este medio Antoni Ballabriga director de negocio responsable de Bbva dijo que los ODS y los acuerdos de Paris son dos acuerdos marcos par...
sostenibilidad,8,6,https://www.larepublica.co/redirect/post/3365009,0.1052491416430249,0.009944010998879094,0.009956855999917025,19587,Otra,Bbva y Colombina negociaron el primer contrato de derivados atado a la sostenibilidad en el mercado financiero local. El producto que permite gestionar el riesgo de tasa de interés se estructuró bajo dos Interest Rate Swap IRS que están vin...
sostenibilidad,8,7,https://www.larepublica.co/redirect/post/3337634,0.09800060869202284,0.009944010998879094,0.009956855999917025,19587,Otra,Este martes Bbva informó que otorgó un crédito sostenible por 300.000 millones a Telefónica Movistar. La financiación corresponde a la modalidad de un indicador ligado a la sostenibilidad KPI Linked Loan con lo cual la tasa de interés se aj...
sostenibilidad,8,8,https://www.larepublica.co/redirect/post/3208897,0.09302647582724889,0.009944010998879094,0.009956855999917025,19587,Otra,Bbva anunció un nuevo hito en materia de sostenibilidad en banco creó una división para esta causa. El área estará liderada por Javier Rodríguez Soler actual country manager de Estados Unidos esto nace con la aspiración de convertir a la en...
China,8,1,https://www.larepublica.co/redirect/post/3210674,0.16362096928417086,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,JPMorgan dijo el lunes que los cambios regulatorios chinos eran un problema local más que global y que el banco seguía sobreponderado las acciones de los mercados emergentes.El banco dijo que si bien es probable que continúe la revisión de ...
China,8,2,https://www.larepublica.co/redirect/post/3210288,0.15834900988117612,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,El regulador de valores de China dijo el domingo que buscará una cooperación más estrecha con su par estadounidense y que apoyará las salidas a bolsa en el extranjero luego de que supervisores estadounidenses endurecieron las exigencias de ...
China,8,3,https://www.larepublica.co/redirect/post/3079388,0.13809355447438562,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,El regulador del mercado chino y otras dependencias gubernamentales han lanzado un ejercicio centrado en el comercio electrónico con planes para tomar medidas en áreas como la competencia desleal y el comercio ilegal de falsificaciones o de...
China,8,4,https://www.larepublica.co/redirect/post/3202517,0.11811822224690212,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,Funcionarios de la Administración del Ciberespacio de China el Ministerio de Seguridad Pública el Ministerio de Seguridad del Estado el Ministerio de Recursos Naturales así como los reguladores de impuestos transporte y antimonopolio están ...
China,8,5,https://www.larepublica.co/redirect/post/3268483,0.1177739979274457,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,El regulador del mercado chino propuso nuevas normas que aumentarían la supervisión de la publicidad en línea incluyendo el principio de que los anuncios no deben afectar al uso normal de Internet ni engañar a los usuarios.Las autoridades c...
China,8,6,https://www.larepublica.co/redirect/post/3272619,0.10688246290190746,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,Una brutal hola vendedora de acciones chinas cotizadas en Estados Unidos ha borrado más de US1 billón de capitalización bursátil desde febrero y no muestra signos de alivio a medida que los reguladores de ambos lados siguen presionando a la...
China,8,7,https://www.larepublica.co/redirect/post/3115132,0.10503208734691478,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,El regulador bancario de China dijo que las recientes medidas para frenar el monopolio de las empresas de tecnología financiera y que han afectado fuertemente a gigantes como Ant Group de Jack Ma no apuntaban a ninguna empresa específica y ...
China,8,8,https://www.larepublica.co/redirect/post/3294146,0.10488930344387694,0.002409239001281094,0.0024162219997378998,6387,Regulaciones,Por los últimos 25 años los entornos tecnológicos chino y norteamericano permitieron el surgimiento de enormes gigantes dentro de un ambiente que dejaba que estas empresas compitiesen prácticamente al margen de toda regulación. Los grandes ...
aviación,8,1,https://www.larepublica.co/redirect/post/3240676,0.16760903336324964,0.00047903000086080283,0.00048168500143219717,577,Alianzas,En una industria históricamente masculina como lo es la aviación Viva presentó su avión rosado A320NEO que apuesta por la equidad de género la lucha contra el cáncer de mama la inclusión y la diversidad.Desde Francia llegó Go Pink que tuvo ...
aviación,8,2,https://www.larepublica.co/redirect/post/3401891,0.16472990368306872,0.00047903000086080283,0.00048168500143219717,577,Alianzas,La Asociación de Transporte Aéreo Internacional Iata representante de más de 290 líneas aéreas se dirigió al presidente electo Gustavo Petro para expresarle su apoyo permanente a la industria aérea en Colombia.En su mensaje el gremio deja e...
aviación,8,3,https://www.larepublica.co/redirect/post/3291143,0.15240579631535484,0.00047903000086080283,0.00048168500143219717,577,Alianzas,Los presidentes de Iberia e Iberia Express y el consejero delegado de Cepsa han firmado hoy un acuerdo para avanzar en la descarbonización del sector aéreo a través del desarrollo e investigación de combustibles de origen sostenible y otras...
aviación,8,4,https://www.larepublica.co/redirect/post/3366381,0.10394386313981846,0.00047903000086080283,0.00048168500143219717,577,Alianzas,El próximo 28 de mayo como logró conocer LR la Aerocivil llevará a cabo una audiencia pública en la que buscará adjudicar nuevos permisos de operación rutas y frecuencias a las aerolíneas que funcionan en el país.Con la dinámica que ha veni...
